PA,SZ,AG,Pop
Bukit Batok,Brickworks,45_to_49,1000
Bukit Batok,Brickworks,50_to_54,790
Bukit Batok,Brickworks,55_to_59,610
Bukit Batok,Brickworks,60_to_64,460
Bukit Batok,Brickworks,65_to_69,320
Bukit Batok,Brickworks,70_to_74,210
Bukit Batok,Brickworks,75_to_79,130
Bukit Batok,Brickworks,80_to_84,60
Bukit Batok,Brickworks,85_to_89,40
Bukit Batok,Brickworks,90_and_over,10
Bukit Batok,Bukit Batok Central,0_to_4,1260
Bukit Batok,Bukit Batok Central,5_to_9,1270
Bukit Batok,Bukit Batok Central,10_to_14,1400
Bukit Batok,Bukit Batok Central,15_to_19,1530
Bukit Batok,Bukit Batok Central,20_to_24,1560
Bukit Batok,Bukit Batok Central,25_to_29,2040
Bukit Batok,Bukit Batok Central,30_to_34,2340
Bukit Batok,Bukit Batok Central,35_to_39,1930
Bukit Batok,Bukit Batok Central,40_to_44,1870
Bukit Batok,Bukit Batok Central,45_to_49,1990
Bukit Batok,Bukit Batok Central,50_to_54,2030
Bukit Batok,Bukit Batok Central,55_to_59,2060
Bukit Batok,Bukit Batok Central,60_to_64,2110
Bukit Batok,Bukit Batok Central,65_to_69,1660
Bukit Batok,Bukit Batok Central,70_to_74,1020
Bukit Batok,Bukit Batok Central,75_to_79,600
Bukit Batok,Bukit Batok Central,80_to_84,400
Bukit Batok,Bukit Batok Central,85_to_89,190
Bukit Batok,Bukit Batok Central,90_and_over,120
Bukit Batok,Bukit Batok East,0_to_4,330
Bukit Batok,Bukit Batok East,5_to_9,360
Bukit Batok,Bukit Batok East,10_to_14,600
Bukit Batok,Bukit Batok East,15_to_19,630
Bukit Batok,Bukit Batok East,20_to_24,840
Bukit Batok,Bukit Batok East,25_to_29,970
Bukit Batok,Bukit Batok East,30_to_34,850
Bukit Batok,Bukit Batok East,35_to_39,830
Bukit Batok,Bukit Batok East,40_to_44,840
Bukit Batok,Bukit Batok East,45_to_49,970
Bukit Batok,Bukit Batok East,50_to_54,1020
Bukit Batok,Bukit Batok East,55_to_59,1220
Bukit Batok,Bukit Batok East,60_to_64,1260
Bukit Batok,Bukit Batok East,65_to_69,950
Bukit Batok,Bukit Batok East,70_to_74,560
Bukit Batok,Bukit Batok East,75_to_79,290
Bukit Batok,Bukit Batok East,80_to_84,180
Bukit Batok,Bukit Batok East,85_to_89,110
Bukit Batok,Bukit Batok East,90_and_over,60
Bukit Batok,Bukit Batok South,0_to_4,720
Bukit Batok,Bukit Batok South,5_to_9,700
Bukit Batok,Bukit Batok South,10_to_14,760
Bukit Batok,Bukit Batok South,15_to_19,900
Bukit Batok,Bukit Batok South,20_to_24,1190
Bukit Batok,Bukit Batok South,25_to_29,1170
Bukit Batok,Bukit Batok South,30_to_34,1300
Bukit Batok,Bukit Batok South,35_to_39,1110
Bukit Batok,Bukit Batok South,40_to_44,930
Bukit Batok,Bukit Batok South,45_to_49,1100
Bukit Batok,Bukit Batok South,50_to_54,1200
Bukit Batok,Bukit Batok South,55_to_59,1320
Bukit Batok,Bukit Batok South,60_to_64,1210
Bukit Batok,Bukit Batok South,65_to_69,720
Bukit Batok,Bukit Batok South,70_to_74,370
Bukit Batok,Bukit Batok South,75_to_79,170
Bukit Batok,Bukit Batok South,80_to_84,110
Bukit Batok,Bukit Batok South,85_to_89,60
Bukit Batok,Bukit Batok South,90_and_over,30
Bukit Batok,Bukit Batok West,0_to_4,670
